,ID,Training Source,Home Office/Metro Area,Organization Number,Organization,Capability,Function 2,Career Level,Function,Function Name,Title,Training Type,Training Provider,Training Delivery Type,Training Location,Course Name,Course URL / Code,Vendor Name,Conference Name,Course or Event Name,Certification Type,Certification Name,Certification URL,Is there a course with this certification?,Consolidated Course Name,Category,Activity,Support Group,Assigned To,Request Status,Start Date,End Date,Start Mo/Yr,End Mo/Yr,Start FY,End FY,Business Justification,What % of the conference is business development?,Training Hours,Travel Required,Individual Travel Hours,Rqst Tot Labor Hrs,Airfare,Hotel,Per Diem,Other,Estimated Individual Travel,Misc Expenses,Certification Fee,Conference Fee,Course Fee,Catering,Facility Rental,Vendor Charge,Direct Other Expenses,Describe Other Expenses,Direct Expense Impact,Rqst NPR Alloc,Rqst NPR OH,Cancel No Response,Created,Retroactive Start Date,Duplicates,Reporting Status
1,TAS0011014,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.011,TC Security,Security,TC,6,TC,Technology Consulting,Client Data Protection  -  Technology Consulting  -  Accenture,Client Data Protection,Accenture,Virtual,NA,CDP Certification Training,Z63018,NA,NA,NA,NA,NA,NA,NA,CDP Certification Training,ACN/AFS Curriculum,CDP,TAS TC Security Approval Group,NA,Training Complete,12/5/2016,12/30/2016,04_Dec,04_Dec,FY17,FY17,Other,NA,4,No,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42709.53256,TRUE,NO,3. Complete
2,TAS0011541,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.107,TDSADC Oracle,Oracle,TDSADC,6,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,NA,AFS Cost Compliance Training,A36761,NA,NA,NA,NA,NA,NA,NA,AFS Cost Compliance Training,ACN/AFS Curriculum,AFS Cost Compliance,TAS TDSADC Oracle Approval Group,NA,Training Complete,1/10/2017,1/10/2017,05_Jan,05_Jan,FY17,FY17,Career growth,NA,8,No,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42738.61419,TRUE,NO,3. Complete
3,TAS0014664,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,9,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,NA,CDP - CMS-required Secure Application Development Training Courses,"A59426, A59599, A84621, A84637, A84657, A84672, A84685, A84693, A84721",NA,NA,NA,NA,NA,NA,NA,CDP - CMS-required Secure Application Development Training Courses,ACN/AFS Curriculum,CDP,TAS TDL Advanced Tech & Arch Approval Group,NA,Training Complete,3/23/2017,4/10/2017,07_Mar,08_Apr,FY17,FY17,Current project/role,NA,5,No,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42817.6691,TRUE,NO,3. Complete
4,TAS0010104,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.005,TC Industry,Industry,TC,LDR,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,NA,AFS Cost Compliance Training,N/A,NA,NA,NA,NA,NA,NA,NA,AFS Cost Compliance Training,ACN/AFS Curriculum,AFS Cost Compliance,TAS TC Industry Approval Group,NA,Training Complete,10/27/2016,10/27/2016,02_Oct,02_Oct,FY17,FY17,Career growth,NA,8,No,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42662.62197,TRUE,NO,3. Complete
5,TAS0009904,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.011,TC Security,Security,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,NA,AFS Cost Compliance Training,N/A,NA,NA,NA,NA,NA,NA,NA,AFS Cost Compliance Training,ACN/AFS Curriculum,AFS Cost Compliance,TAS TC Security Approval Group,NA,Training Complete,10/28/2016,10/28/2016,02_Oct,02_Oct,FY17,FY17,Career growth,NA,8,No,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42654.38855,TRUE,NO,3. Complete
6,TAS0012649,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.004,TDL Emerging Technology,Emerging Tech,TDL,7,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,NA,North American Experience Hire School,0402ACA002,NA,NA,NA,NA,NA,NA,NA,North American Experience Hire School,ACN/AFS Curriculum,Exp Hire,TAS TDL Emerging Technology Approval Group,NA,Training Complete,3/3/2017,4/5/2017,07_Mar,08_Apr,FY17,FY17,Accenture curriculum,NA,24,Yes,4,28,450,0,50,0,500,0,0,0,0,0,0,0,0,NA,NA,0,500,TRUE,42780.48999,TRUE,NO,3. Complete
7,TAS0010655,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.107,TDSADC Oracle,Oracle,TDSADC,8,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,NA,CDP Lead Certification,:https://sites.accenture.com/publishing/ClientDataProtection/CDP_Certification/Pages/default.aspx,NA,NA,NA,NA,NA,NA,NA,CDP Lead Certification,ACN/AFS Curriculum,CDP,TAS TDSADC Oracle Approval Group,michael.g.fulton,Training Complete,11/14/2016,12/30/2016,03_Nov,04_Dec,FY17,FY17,Current project/role,NA,6,No,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42690.58439,TRUE,NO,3. Complete
8,TAS0016247,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.004,TDL Emerging Technology,Emerging Tech,TDL,10,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,NA,Secure Coding for Java Information Handling (Module 5),https://mylearning.accenture.com/myl-ui/learner/activityDetails?activityID=1242714,NA,NA,NA,NA,NA,NA,NA,Secure Coding for Java Information Handling (Module 5),ACN/AFS Curriculum,CDP,TAS TDL Emerging Technology Approval Group,NA,Approved,5/1/2017,5/15/2017,09_May,09_May,FY17,FY17,Upcoming project/role,NA,0.8,No,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42852.43118,TRUE,NO,2. Approved
9,TAS0010506,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,11,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,NA,IT Security for End Users: IT Security Fundamentals,ds_sfeu_a01_dt_enus,NA,NA,NA,NA,NA,NA,NA,IT Security for End Users: IT Security Fundamentals,ACN/AFS Curriculum,CDP,TAS TDL Advanced Tech & Arch Approval Group,NA,Training Complete,11/11/2016,11/11/2016,03_Nov,03_Nov,FY17,FY17,Career growth,NA,1,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42682.75459,TRUE,NO,3. Complete
10,TAS0012185,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.009,TDL Infrastructure,Infrastructure,TDL,6,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Classroom,NA,CDP Training for Classified,A12826,NA,NA,NA,NA,NA,NA,NA,CDP Training for Classified,ACN/AFS Curriculum,CDP,TAS TDL Infrastructure Approval Group,NA,Training Complete,3/2/2017,3/2/2017,07_Mar,07_Mar,FY17,FY17,Current project/role,NA,4.5,No,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42766.53051,TRUE,NO,3. Complete
